CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,07/23/2024 10:30:00 PM,24-036891,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,3263 COOLIDGE AV,Oakland,CA,POINT (-122.211751847 37.795584215)
STOLEN VEHICLE,07/18/2024 11:00:00 PM,24-036668,VEHICLE THEFT - AUTO,12X,448 40TH ST,Oakland,CA,POINT (-122.261972019 37.828994984)
,05/21/2024 03:03:00 PM,24-909343,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,11X,5325 TELEGRAPH AVE,Oakland,CA,POINT (-122.262140443 37.838989307)
,07/21/2024 08:21:00 PM,24-036344,VEHICLE THEFT - AUTO,18Y,1634 E 22ND ST,Oakland,CA,POINT (-122.237898019 37.793955988)
STOLEN VEHICLE,07/05/2024 10:25:00 AM,24-033405,VEHICLE THEFT - AUTO,30X,7300 KRAUSE AV,Oakland,CA,POINT (-122.178448105 37.764970589)
BURG - AUTO,06/14/2024 10:35:00 AM,24-029577,BURGLARY-AUTO,27X,5001 TRASK ST,Oakland,CA,POINT (-122.201109008 37.777035985)
,06/18/2024 05:21:00 PM,24-030360,DISORDERLY CONDUCT:PROSTITUTION,19X,1500 11TH AV,Oakland,CA,POINT (-122.247674001 37.791982008)
,06/05/2024 12:25:00 AM,24-909787,BURGLARY-AUTO,,1506 PRESCOTT ST,Oakland,CA,POINT (-122.298183014 37.814404018)
,06/14/2024 01:48:00 PM,24-910804,THEFT,27X,2233 47TH AVE,Oakland,CA,POINT (-122.205992975 37.777228014)
FELONY ASSAULT,06/15/2024 09:14:00 AM,24-029724,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30Y,2727 79TH AV,Oakland,CA,POINT (-122.169103968 37.764681018)
RECOVERED O/S STOLEN,07/16/2024 02:00:00 PM,24-035527,VEHICLE THEFT - AUTO,01X,255 2ND ST,Oakland,CA,POINT (-122.272396005 37.794069018)
,05/27/2024 06:30:00 AM,24-026050,ROBBERY-FIREARM,24Y,2700 VIOLA ST,Oakland,CA,POINT (-122.207058986 37.786155999)
STOLEN VEHICLE,05/29/2024 05:27:00 AM,24-026431,VEHICLE THEFT - AUTO,19X,5TH AV & EMBARCADERO,Oakland,CA,POINT (-122.26009816 37.790120597)
,05/20/2024 07:25:00 PM,24-907870,BURGLARY-AUTO,12X,520 49TH ST,Oakland,CA,POINT (-122.263347992 37.836010008)
,05/21/2024 11:00:00 PM,24-025186,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,01X,200 BLOCK MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.280586059 37.798786919)
,06/22/2024 08:00:00 PM,24-910855,BURGLARY-NO FORCE,34X,2024 82ND AVE,Oakland,CA,POINT (-122.171569002 37.759305997)
,07/12/2024 09:55:00 AM,24-910600,BURGLARY-NO FORCE,04X,634 15TH ST,Oakland,CA,POINT (-122.275036975 37.80692099)
,05/29/2024 07:00:00 AM,24-909203,VANDALISM,15X,2900 LAKESHORE AVE,Oakland,CA,POINT (-122.248530966 37.808369006)
DOMESTIC VIOLENCE,06/06/2024 12:49:00 PM,24-028011,CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH,35Y,4412 TURNER AV,Oakland,CA,POINT (-122.123787041 37.745589012)
THREATS,05/28/2024 10:34:00 AM,24-026279,THREAT CRIME:INT:TERRORIZE,15X,328 HANOVER AV,Oakland,CA,POINT (-122.250989965 37.802509008)
,05/28/2024 03:00:00 AM,24-908641,BURGLARY-AUTO,23X,1823 41ST AVE,Oakland,CA,POINT (-122.214429006 37.775972441)
,05/22/2024 04:40:00 PM,24-907949,BURGLARY-AUTO,,GRAND AVE,Oakland,CA,POINT (-122.258094493 37.809225707)
VANDALISM,07/28/2024 12:58:00 PM,24-037678,VANDALISM,29X,5609 FOOTHILL BLVD,Oakland,CA,POINT (-122.194418992 37.772125992)
,06/04/2024 03:15:00 PM,24-027658,VEHICLE THEFT - AUTO,30X,8001 OLIVE ST,Oakland,CA,POINT (-122.173304276 37.760570706)
,06/28/2024 08:00:00 PM,24-032361,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
MISDEMEANOR ASSAULT,07/06/2024 06:20:00 PM,24-033766,BATTERY,33X,9725 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.171138004 37.744370996)
,06/28/2024 03:55:00 AM,24-911245,ATTEMPT VEHICLE THEFT-AUTO,32Y,2043 109TH AVE,Oakland,CA,POINT (-122.157905997 37.73922698)
,06/04/2024 09:00:00 PM,24-028145,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
STOLEN VEHICLE,07/13/2024 02:00:00 AM,24-034961,VEHICLE THEFT - AUTO,34X,1946 84TH AV,Oakland,CA,POINT (-122.171720966 37.757004997)
,08/09/2024 03:00:00 AM,24-039690,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,03X,283 13TH ST,Oakland,CA,POINT (-122.267602981 37.801827014)
GRAND THEFT,07/28/2024 12:00:00 AM,24-911050,GRAND THEFT,03X,1175 MADISON ST,Oakland,CA,POINT (-122.264800683 37.800480786)
STOLEN VEHICLE,05/23/2024 01:07:00 PM,24-025453,VEHICLE THEFT - AUTO,35X,2324 92ND AV,Oakland,CA,POINT (-122.163459008 37.75322501)
,05/22/2024 09:00:00 PM,24-025567,VEHICLE THEFT - AUTO,23X,IFO 1636 35TH AVE,Oakland,CA,POINT (-122.220494003 37.77960902)
BURG - COMMERCIAL,07/13/2024 12:36:00 AM,24-034899,BURGLARY-FORCIBLE ENTRY,26X,4700 COLISEUM WY,Oakland,CA,POINT (-122.216712005 37.766085992)
STOLEN VEHICLE,06/23/2024 11:32:00 AM,24-031631,VEHICLE THEFT - AUTO,29X,2915 58TH AV,Oakland,CA,POINT (-122.188420986 37.775268996)
STOLEN VEHICLE,06/03/2024 10:20:00 AM,24-027579,VEHICLE THEFT - AUTO,22X,3535 LINCOLN AV,Oakland,CA,POINT (-122.213679013 37.800634018)
,06/07/2024 12:10:00 PM,24-028185,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,33X,1239 84TH AV,Oakland,CA,POINT (-122.180409982 37.753041991)
,06/17/2024 06:00:00 PM,24-030179,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,15X,301 E 18TH ST,Oakland,CA,POINT (-122.252023035 37.799495001)
,08/08/2024 01:17:00 PM,24-039736,VEHICLE THEFT - AUTO,24X,3945 SAN JUAN ST.,Oakland,CA,POINT (-122.21480596 37.778345993)
,06/20/2024 07:50:00 PM,24-911002,ATTEMPT VEHICLE THEFT-AUTO,05X,1200 21ST ST,Oakland,CA,POINT (-122.285824987 37.815324016)
,07/17/2024 12:27:00 AM,24-035644,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02X,1000BLK OF 10TH ST,Oakland,CA,POINT (-122.28390582 37.805939042)
,07/18/2024 10:18:00 AM,24-036001,TRESPASSING,33X,1266 83RD AV,Oakland,CA,POINT (-122.180218958 37.753701982)
,08/04/2024 03:00:00 AM,24-038748,TAMPER WITH VEHICLE,20X,2600 E 16TH ST,Oakland,CA,POINT (-122.230772982 37.783232014)
PETTY THEFT,06/12/2024 03:23:00 AM,24-909974,THEFT,22Y,3095 GUIDO ST,Oakland,CA,POINT (-122.194408012 37.804810008)
,08/11/2024 03:37:00 AM,24-040034,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,24X,4152 MERA ST,Oakland,CA,POINT (-122.211737916 37.777208705)
MISCELLANEOUS TRAFFIC CRIME,05/26/2024 06:02:00 PM,24-025978,UNLICENSED DRIVER,27X,50TH AV & MELROSE AV,Oakland,CA,POINT (-122.205287973 37.774113006)
,06/27/2024 06:12:00 PM,24-032075,DISORDERLY CONDUCT:PROSTITUTION,19X,1025 8TH AV,Oakland,CA,POINT (-122.253899994 37.791963987)
,06/03/2024 10:45:00 PM,24-027635,VEHICLE THEFT - AUTO,31Y,66 AIRPORT ACCESS RD,Oakland,CA,POINT (-122.198382962 37.725858012)
,06/06/2024 09:10:00 AM,24-909137,VANDALISM,17Y,1215 E 23RD ST,Oakland,CA,POINT (-122.23961304 37.796058002)
,07/17/2024 06:00:00 AM,24-034376,ILLEGALLY POSSESS ANY ASSUALT WEAPON,99X,1276 148TH AVE,Oakland,CA,POINT (-122.135372005 37.706985989)
,06/06/2024 01:54:00 PM,24-028026,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,09X,250 WHITMORE ST,Oakland,CA,POINT (-122.251000024 37.833366984)
,06/27/2024 09:04:00 PM,24-032097,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,19X,1226 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.247347023 37.79045998)
MISDEMEANOR ASSAULT,05/21/2024 05:38:00 AM,24-025028,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,1001 75TH AV,Oakland,CA,POINT (-122.191520027 37.754915011)
,07/14/2024 11:59:00 PM,24-035189,CARRY CONCEALED WEAPON IN VEHICLE,06X,950 BROCKHURST ST,Oakland,CA,POINT (-122.276279513 37.823433875)
,08/05/2024 04:05:00 PM,24-038981,MAIL/ETC THEFT/ETC,26X,70TH AVE. AND HERBERT GUICE WAY,Oakland,CA,POINT (-122.190604975 37.759614996)
MISDEMEANOR ASSAULT,05/16/2024 05:40:00 PM,24-024176,BATTERY,13Z,1900 MOUNTAIN BLVD,Oakland,CA,POINT (-122.210643004 37.829135003)
,06/09/2024 07:07:00 PM,24-028552,BATTERY,05X,FILBERT ST AND W. GRAND  AVE,Oakland,CA,POINT (-122.280755025 37.814888995)
,07/30/2024 08:44:00 AM,24-037984,GRAND THEFT,11X,IFO 6030 TELEGRAPH AVE,Oakland,CA,POINT (-122.260928932 37.846676397)
,07/11/2024 04:08:00 AM,24-034538,BURGLARY-FORCIBLE ENTRY,20X,2830 FORD ST.,Oakland,CA,POINT (-122.235027972 37.77363201)
,07/11/2024 02:12:00 AM,24-034563,VEHICLE THEFT - AUTO,25X,3800 PATTERSON AVE,Oakland,CA,POINT (-122.195333961 37.792616015)
STOLEN VEHICLE,08/02/2024 07:00:00 PM,24-038786,VEHICLE THEFT - AUTO,27X,5333 FAIRFAX AV,Oakland,CA,POINT (-122.200990991 37.771960994)
,07/15/2024 09:48:00 AM,24-035221,THEFT,14X,230 BAY PL,Oakland,CA,POINT (-122.260699981 37.813011994)
VANDALISM,05/17/2024 05:00:00 AM,24-024331,VANDALISM $10000 OR MORE,17Y,1458 E 31ST ST,Oakland,CA,POINT (-122.229949041 37.799247987)
STOLEN VEHICLE,05/25/2024 12:00:00 PM,24-025794,VEHICLE THEFT - AUTO,06X,3046 SAN PABLO AV,Oakland,CA,POINT (-122.286408688 37.850893875)
,08/08/2024 11:20:00 AM,24-911779,VANDALISM,12Y,5511 LAWTON AVE,Oakland,CA,POINT (-122.251160034 37.842496009)
HOMICIDE,05/27/2024 12:17:00 PM,24-026120,SC UNEXPLAINED DEATH,16X,849 SANTA RAY AV,Oakland,CA,POINT (-122.230970963 37.812498015)
,07/02/2024 08:30:00 AM,24-911336,GRAND THEFT,31X,285 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198703989 37.733352984)
,07/12/2024 11:52:00 AM,24-034768,GRAND THEFT,12X,5055 TELEGRAPH AV,Oakland,CA,POINT (-122.262635027 37.836899999)
ROBBERY,06/05/2024 07:26:00 PM,24-027895,ASSAULT TO COMMIT SODOMY,08X,40TH ST & TELEGRAPH AVE,Oakland,CA,POINT (-122.264463958 37.829089993)
,06/10/2024 03:04:00 AM,24-028611,ARSON:INHABITED STRUCTURE/PROPERTY,27Y,6118 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.197434968 37.76446598)
,07/25/2024 03:54:00 AM,24-036961,VEHICLE THEFT - AUTO,27Y,5949 BROMLEY AVE.,Oakland,CA,POINT (-122.195903008 37.766234981)
STOLEN VEHICLE,05/15/2024 11:45:00 PM,24-024082,VEHICLE THEFT - AUTO,27Y,HILTON ST & SEMINARY AV,Oakland,CA,POINT (-122.193247034 37.769534014)
GRAND THEFT,05/18/2024 01:00:00 AM,24-908146,GRAND THEFT,08X,312 24TH ST,Oakland,CA,POINT (-122.263219139 37.81306966)
MISDEMEANOR ASSAULT,07/17/2024 05:25:00 PM,24-035731,BATTERY,19X,506 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.253207984 37.795752984)
,05/18/2024 01:00:00 AM,24-024522,VEHICLE THEFT - AUTO,30X,2001 69TH AV,Oakland,CA,POINT (-122.184062983 37.764914999)
,07/07/2024 04:30:00 PM,24-910097,BURGLARY-AUTO,01X,331 2ND ST,Oakland,CA,POINT (-122.273571986 37.794731985)
RECOVERED O/S STOLEN,07/01/2024 12:35:00 PM,24-032710,VEHICLE THEFT - AUTO,32Y,9858 BURR ST,Oakland,CA,POINT (-122.154331031 37.749441)
,08/03/2024 11:00:00 AM,24-038671,BURGLARY-AUTO,01X,500 BLOCK 3RD ST,Oakland,CA,POINT (-122.278609434 37.797820168)
STOLEN VEHICLE,07/01/2024 04:00:00 PM,24-032775,VEHICLE THEFT - AUTO,02X,1000 CHESTNUT ST,Oakland,CA,POINT (-122.285892801 37.806763518)
,06/01/2024 04:00:00 AM,24-909751,ATTEMPT VEHICLE THEFT-AUTO,08X,2944 HARRISON ST,Oakland,CA,POINT (-122.257914004 37.816735989)
STOLEN VEHICLE,07/25/2024 12:09:00 PM,24-037279,VEHICLE THEFT - AUTO,34X,1648 92ND AV,Oakland,CA,POINT (-122.170553031 37.749953008)
,07/26/2024 06:30:00 PM,24-910996,BURGLARY-AUTO,12X,4701 TELEGRAPH AVE,Oakland,CA,POINT (-122.263333994 37.834501014)
,06/11/2024 06:06:00 PM,24-029060,VANDALISM,12X,509 41ST ST,Oakland,CA,POINT (-122.264572001 37.829837994)
,06/03/2024 11:00:00 PM,24-027707,UNAUTHORIZED ACCESS COMPUTER SYSTEM/ETC,07X,3650 MANDELA PKWY,Oakland,CA,POINT (-122.288324974 37.827232982)
,07/24/2024 09:00:00 AM,24-037498,VEHICLE THEFT - AUTO,14X,260 LEE ST,Oakland,CA,POINT (-122.257390973 37.813163999)
,06/24/2024 07:05:00 PM,24-031576,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,34X,1400 85TH AV,Oakland,CA,POINT (-122.177098113 37.753677547)
DOMESTIC VIOLENCE,06/09/2024 04:45:00 AM,24-028437,INFLICT CRPL INJ SP/COHAB,14Y,195 SANTA CLARA AV,Oakland,CA,POINT (-122.251779038 37.817857991)
STOLEN VEHICLE,05/15/2024 01:00:00 PM,24-024727,VEHICLE THEFT - AUTO,03X,438 7TH ST,Oakland,CA,POINT (-122.274067993 37.799518017)
,05/23/2024 11:53:00 AM,24-025438,VEHICLE THEFT - AUTO,29X,6250 HILLMONT,Oakland,CA,POINT (-122.173377984 37.778961015)
,07/14/2024 01:02:00 PM,24-035098,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,02Y,1684 12TH ST,Oakland,CA,POINT (-122.297201497 37.81107733)
STOLEN VEHICLE,07/03/2024 09:52:00 PM,24-033324,VEHICLE THEFT - AUTO,33X,9418 CLEMENTE DR,Oakland,CA,POINT (-122.179323017 37.743687997)
WEAPONS,05/24/2024 01:47:00 PM,24-025636,CARRY CONCEALED WEAPON IN VEHICLE,06X,900 BROCKHURST ST,Oakland,CA,POINT (-122.275159598 37.823174695)
THREATS,06/01/2024 01:25:00 AM,24-027095,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,32Y,10323 MACARTHUR BLVD,Oakland,CA,POINT (-122.153565009 37.74379298)
STOLEN AND RECOVERED VEHICLE,07/03/2024 10:00:00 PM,24-911620,ATTEMPT VEHICLE THEFT-AUTO,10Y,889 45TH ST,Oakland,CA,POINT (-122.272703446 37.834361324)
,07/27/2024 10:51:00 PM,24-037602,BURGLARY-AUTO,03X,763 FRANKLIN ST,Oakland,CA,POINT (-122.273086003 37.799613018)
,06/17/2024 11:52:00 PM,24-030230,ADW NOT F/ARM:PO/FIRE:GBI,32X,103RD AV & E ST,Oakland,CA,POINT (-122.17356599 37.737621007)
,07/04/2024 10:48:00 AM,24-033233,VANDALISM:DAMAGE PROPERTY,24Y,4139 PENNIMAN AV,Oakland,CA,POINT (-122.202002016 37.784764016)
,06/07/2024 11:11:00 PM,24-028264,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21Y,3050 DAVIS ST,Oakland,CA,POINT (-122.220500038 37.790083004)
,07/18/2024 06:00:00 AM,24-910770,BURGLARY-NO FORCE,04X,330 17TH ST,Oakland,CA,POINT (-122.266816004 37.805847981)
,07/19/2024 04:00:00 PM,24-910739,BURGLARY-AUTO,12X,4810 SHATTUCK AVE,Oakland,CA,POINT (-122.263557959 37.835439997)
,07/20/2024 05:48:00 PM,24-036174,FALSE IMPRISONMENT W/VIOLENCE/ETC,27X,2550 COURTLAND AV,Oakland,CA,POINT (-122.203503969 37.781047983)
,06/25/2024 01:40:00 PM,24-910588,BURGLARY-NO FORCE,13Y,5900 SKYLINE BOULEVARD,Oakland,CA,POINT (-122.213601983 37.853142995)
,05/22/2024 02:43:00 PM,24-909298,THEFT,19X,314 E 10TH ST,Oakland,CA,POINT (-122.257925025 37.794953166)
,06/09/2024 02:15:00 PM,24-028523,SC RAPE,35X,CALAFIA AV&MOUNTAIN BLVD,Oakland,CA,POINT (-122.14768896 37.757430001)
RECOVERED O/S STOLEN,06/23/2024 07:59:00 PM,24-031243,POSS STOLEN VEH/VES/ETC,32X,102ND AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168366863 37.741522993)
,07/11/2024 10:29:00 PM,24-034710,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,974 91ST AV,Oakland,CA,POINT (-122.180477959 37.745957984)
THREATS,05/29/2024 12:14:00 PM,24-026901,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,3414 64TH AV PL,Oakland,CA,POINT (-122.178111999 37.774136014)
HOMICIDE,08/06/2024 04:30:00 PM,24-039154,ASSAULT WITH FIREARM ON PERSON,29X,5751 MORSE DR,Oakland,CA,POINT (-122.18996401 37.773509006)
,06/27/2024 05:00:00 PM,24-032073,BURGLARY-FORCIBLE ENTRY,04X,1529 ALICE STREET,Oakland,CA,POINT (-122.265595012 37.804505996)
,07/26/2024 06:00:00 AM,24-037158,ROBBERY-FIREARM,18X,2200 E.17TH ST,Oakland,CA,POINT (-122.23518002 37.787187015)
MISDEMEANOR ASSAULT,07/09/2024 06:07:00 PM,24-034276,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,19X,22ND AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.23785217 37.78460388)
,07/02/2024 08:10:00 PM,24-909953,VANDALISM,32X,1558 TUCKER ST,Oakland,CA,POINT (-122.163690013 37.738492013)
STOLEN VEHICLE,05/24/2024 05:30:00 PM,24-025692,VEHICLE THEFT - AUTO,07X,826 MEAD AV,Oakland,CA,POINT (-122.276018999 37.81648998)
ROBBERY,07/06/2024 07:30:00 AM,24-033559,ROBBERY-OTHER DANGEROUS WEAPON,19X,16TH AV & FOOTHILL BLVD,Oakland,CA,POINT (-122.242607978 37.790007986)
,07/22/2024 03:00:00 PM,24-036717,GRAND THEFT,29X,6817 SIMSON ST,Oakland,CA,POINT (-122.171792966 37.773865991)
PETTY THEFT,06/06/2024 04:00:00 PM,24-028074,THEFT,24X,3459 SALISBURY ST,Oakland,CA,POINT (-122.216098551 37.785307885)
STOLEN VEHICLE,05/29/2024 01:20:00 PM,24-026736,VEHICLE THEFT - AUTO,21Y,2330 FRUITVALE AV,Oakland,CA,POINT (-122.221777961 37.786001947)
,05/23/2024 09:13:00 AM,24-025416,VEHICLE THEFT - AUTO,26X,4515 E12TH ST,Oakland,CA,POINT (-122.213952012 37.770190988)
,07/28/2024 02:24:00 AM,24-037616,VANDALISM:DAMAGE PROPERTY,29X,2828 61ST AVE,Oakland,CA,POINT (-122.186414023 37.772030983)
BURG - RESIDENTIAL,07/24/2024 01:45:00 PM,24-037278,BURGLARY-NO FORCE,14Y,1070 WARFIELD AV,Oakland,CA,POINT (-122.23978202 37.817293009)
,06/16/2024 01:00:00 AM,24-909169,BURGLARY-AUTO,12X,516 49TH ST,Oakland,CA,POINT (-122.262793131 37.835698612)
ROBBERY,05/21/2024 06:55:00 AM,24-025046,ATTEMPTED ROBBERY-FIREARM,23X,3460 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.223219669 37.776469887)
,07/22/2024 10:55:00 PM,24-036863,VEHICLE THEFT - AUTO,19X,1130 3RD AV,Oakland,CA,POINT (-122.256457984 37.795882988)
MISDEMEANOR ASSAULT,08/03/2024 12:00:00 AM,24-038652,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,31Y,EDES AV & 98TH AV,Oakland,CA,POINT (-122.183329734 37.736438991)
NARCOTICS,05/20/2024 01:45:00 AM,24-024816,CARRY CONCEALED WEAPON IN VEHICLE,30X,1925 82ND AV,Oakland,CA,POINT (-122.173628687 37.758559232)
,06/14/2024 12:00:00 AM,24-029569,THEFT,06X,718 SYCAMORE ST,Oakland,CA,POINT (-122.273738031 37.816200009)
,07/16/2024 01:58:00 PM,24-910521,BURGLARY-AUTO,04X,1438 WEBSTER ST,Oakland,CA,POINT (-122.268403974 37.803870296)
FELONY ASSAULT,05/25/2024 01:50:00 PM,24-025783,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1954 TELEGRAPH AV,Oakland,CA,POINT (-122.26910703 37.808879003)
,06/20/2024 06:00:00 PM,24-910869,VANDALISM,04X,2225 TELEGRAPH AVE,Oakland,CA,POINT (-122.269458986 37.811644989)
MISDEMEANOR ASSAULT,06/14/2024 10:12:00 PM,24-029670,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,5514 FOOTHILL BLVD,Oakland,CA,POINT (-122.195729574 37.772632427)
,06/08/2024 11:29:00 AM,24-028342,BURGLARY-FORCIBLE ENTRY,26X,5901 SAN LEANDRO ST,Oakland,CA,POINT (-122.205632973 37.759551)
,05/21/2024 03:02:00 AM,24-907882,GRAND THEFT,,13TH AVE,Oakland,CA,POINT (-122.235162576 37.799427628)
,07/21/2024 10:15:00 PM,24-911349,VANDALISM,,TELEGRAPH AVE,Oakland,CA,POINT (-122.261462977 37.843326577)
,06/07/2024 07:45:00 PM,24-910183,VANDALISM,24Y,3321 OVER ST,Oakland,CA,POINT (-122.201747038 37.789590986)
RECOVERED O/S STOLEN,05/23/2024 10:15:00 PM,24-025522,VEHICLE THEFT - AUTO,05X,BRUSH ST&W GRAND AV,Oakland,CA,POINT (-122.274614024 37.81298601)
,06/01/2024 05:00:00 PM,24-027286,VEHICLE THEFT - AUTO,01X,200 WEBER ST ST,Oakland,CA,POINT (-122.26910257 37.769689092)
,06/04/2024 10:00:00 PM,24-908492,BURGLARY-AUTO,04X,1800 SAN PABLO AVE,Oakland,CA,POINT (-122.27218696 37.808049991)
,06/05/2024 01:54:00 PM,24-027834,SC UNEXPLAINED DEATH,06X,682 30TH ST,Oakland,CA,POINT (-122.271843973 37.819968009)
FORCIBLE RAPE,07/19/2024 12:00:00 AM,24-036921,RAPE OF DRUGGED VICTIM,27Y,1420 62ND AV,Oakland,CA,POINT (-122.196900091 37.764102706)
STOLEN VEHICLE,06/26/2024 09:53:00 PM,24-031980,VEHICLE THEFT - AUTO,21Y,3263 COOLIDGE AV,Oakland,CA,POINT (-122.211751847 37.795584215)
,07/08/2024 09:08:00 PM,24-034111,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,03X,1200 BLOCK HARRISON ST,Oakland,CA,POINT (-122.26824998 37.801883508)
,08/01/2024 11:00:00 AM,24-038337,VEHICLE THEFT - AUTO,14X,296 EUCLID AVE,Oakland,CA,POINT (-122.252855815 37.814162509)
,06/26/2024 01:36:00 AM,24-031832,VEHICLE THEFT - AUTO,23X,1550 BRIDGE AVE.,Oakland,CA,POINT (-122.219591021 37.777715003)
PETTY THEFT,06/23/2024 05:00:00 PM,24-031810,THEFT,33X,1135 92ND AV,Oakland,CA,POINT (-122.177824763 37.746618186)
PETTY THEFT,07/09/2024 08:00:00 PM,24-034593,THEFT,30X,69TH AV & FLORA ST,Oakland,CA,POINT (-122.188458034 37.761978986)
,06/01/2024 06:00:00 AM,24-909752,THEFT BY USE OF ACCESS CARD,08X,540 39TH ST,Oakland,CA,POINT (-122.265456041 37.828878014)
THREATS,06/30/2024 05:45:00 PM,24-032600,ASSAULT,04X,1800 SAN PABLO AV,Oakland,CA,POINT (-122.27218696 37.808049991)
MISDEMEANOR ASSAULT,05/25/2024 06:39:00 PM,24-025819,BATTERY,06X,830 30TH ST,Oakland,CA,POINT (-122.274414032 37.820391002)
,07/21/2024 02:43:00 AM,24-036235,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26X,1202 51ST AV,Oakland,CA,POINT (-122.209675984 37.767125013)
,08/10/2024 08:55:00 AM,24-039881,BATTERY,14X,GRAND AVE AND LAKE PARK AVE,Oakland,CA,POINT (-122.247989831 37.811370607)
,07/09/2024 03:30:00 PM,24-034236,VEHICLE THEFT - AUTO,24X,1900 BLOCK OF 40TH AVE,Oakland,CA,POINT (-122.214298355 37.778496242)
,06/25/2024 12:30:00 PM,24-909576,BURGLARY-AUTO,,PLEASANT VALLEY AVE,Oakland,CA,POINT (-122.24710064 37.82999369)
,06/28/2024 07:00:00 AM,24-032175,TRESPASS:OCCUPY PROPERTY W/O CONSENT,34X,2256 83RD AV,Oakland,CA,POINT (-122.168599964 37.759523004)
GRAND THEFT,06/25/2024 04:20:00 AM,24-031623,GRAND THEFT,10Y,4208 LUSK ST,Oakland,CA,POINT (-122.271511966 37.832318995)
RECOVERED O/S STOLEN,05/16/2024 01:36:00 PM,24-024128,VEHICLE THEFT - AUTO,35Y,10910 GLEN ARTNEY ST,Oakland,CA,POINT (-122.123635999 37.753183016)
NARCOTICS,07/28/2024 07:35:00 AM,24-037637,VIOLATION OF PROBATION-MISD,33X,930 84TH AV,Oakland,CA,POINT (-122.185845981 37.74990301)
,05/31/2024 06:28:00 AM,24-026922,ROBBERY-FIREARM,17X,630 FOOTHILL BLVD,Oakland,CA,POINT (-122.250596016 37.796121998)
,07/12/2024 12:15:00 PM,24-910430,BURGLARY-AUTO,01X,100 MADISON ST,Oakland,CA,POINT (-122.269508225 37.792722126)
NARCOTICS,05/27/2024 04:53:00 PM,24-026151,POSS STOLEN VEH/VES/ETC,33X,8301 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.178451969 37.754617998)
,07/21/2024 12:00:00 AM,24-036242,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,07/11/2024 09:50:00 AM,24-034576,VEHICLE THEFT - AUTO,26X,5051 COLISEUM,Oakland,CA,POINT (-122.213906598 37.763623994)
,06/05/2024 04:13:00 PM,24-027857,SC UNEXPLAINED DEATH,31Z,10562 EAST CT,Oakland,CA,POINT (-122.179917964 37.727695996)
ROBBERY,05/31/2024 08:17:00 PM,24-027059,ROBBERY-FIREARM,19X,19TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.241058081 37.786417682)
,05/19/2024 10:57:00 PM,24-024636,CARJACKING WITH FIREARM,32X,10915 FOOTHILL BLVD,Oakland,CA,POINT (-122.146881028 37.742527983)
