CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,05/22/2024 11:45:00 PM,24-026587,VEHICLE THEFT - AUTO,26Y,7017 SPENCER ST,Oakland,CA,POINT (-122.194013978 37.756898002)
,07/28/2024 09:00:00 PM,24-037923,VEHICLE THEFT - AUTO,22X,3977 RHODA AV,Oakland,CA,POINT (-122.204900981 37.803959999)
CURFEW & LOITERING,05/28/2024 09:30:00 AM,24-026345,TRESPASSING,08X,389 OAKLAND AV,Oakland,CA,POINT (-122.256003014 37.817580005)
,06/20/2024 04:30:00 PM,24-030746,VEHICLE THEFT - AUTO,14X,IFO 293 PERKINS STREET,Oakland,CA,POINT (-122.255734961 37.81277202)
PROSTITUTION,06/05/2024 07:03:00 PM,24-027883,SUPV/ETC PROSTITUTION,19X,122 E 12TH ST,Oakland,CA,POINT (-122.257448976 37.797949001)
ROBBERY,08/02/2024 08:38:00 PM,24-038539,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,495 22ND ST,Oakland,CA,POINT (-122.268859009 37.810917985)
,08/07/2024 07:55:00 PM,24-039348,DISTURB THE PEACE,17X,2229 13TH AVE,Oakland,CA,POINT (-122.239567706 37.79538277)
,05/21/2024 09:30:00 PM,24-025235,VEHICLE THEFT - AUTO,05X,1843 CHESTNUT ST ST,Oakland,CA,POINT (-122.284055987 37.812940999)
,07/18/2024 01:49:00 PM,24-035856,VEHICLE THEFT - AUTO,20X,3031 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.227684 37.778146)
,08/02/2024 10:48:00 AM,24-038473,VANDALISM-$400+,31X,700 BLOCK OF LOUISIANA ST,Oakland,CA,POINT (-122.185710654 37.740371717)
ROBBERY,06/23/2024 10:04:00 PM,24-031252,ASSAULT WITH FIREARM ON PERSON,25X,4017 MACARTHUR BLVD,Oakland,CA,POINT (-122.19765909 37.790383045)
STOLEN VEHICLE,07/20/2024 04:00:00 AM,24-036506,VEHICLE THEFT - AUTO,32Y,10025 MACARTHUR BLVD,Oakland,CA,POINT (-122.155714538 37.745555105)
MISDEMEANOR ASSAULT,06/22/2024 10:40:00 PM,24-031111,BATTERY,04X,550 18TH ST,Oakland,CA,POINT (-122.27207699 37.808335017)
STOLEN VEHICLE,06/18/2024 02:31:00 PM,24-030343,VEHICLE THEFT - AUTO,01X,255 2ND ST,Oakland,CA,POINT (-122.272396005 37.794069018)
STOLEN VEHICLE,05/31/2024 02:49:00 AM,24-026969,VEHICLE THEFT - AUTO,22Y,3478 MIDVALE AV,Oakland,CA,POINT (-122.202060006 37.793811667)
,07/01/2024 01:00:00 PM,24-032732,BATTERY,33X,1311 97TH AV,Oakland,CA,POINT (-122.172524036 37.744622998)
,07/11/2024 09:25:00 PM,24-910689,GRAND THEFT,21X,1940 IRVING AVE,Oakland,CA,POINT (-122.22950304 37.785778981)
DOMESTIC VIOLENCE,05/26/2024 06:00:00 PM,24-026040,RAPE OF DRUGGED VICTIM,26X,63RD & SAN LEANDRO,Oakland,CA,POINT (-122.144552732 37.769639301)
BURG - AUTO,06/03/2024 07:00:00 PM,24-909480,BURGLARY-AUTO,12X,386 41ST ST,Oakland,CA,POINT (-122.258895733 37.829161428)
DOMESTIC VIOLENCE,05/30/2024 11:43:00 AM,24-026775,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31Y,175 98TH AV,Oakland,CA,POINT (-122.194838003 37.729879021)
,06/02/2024 05:43:00 PM,24-027332,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,19X,1103 EMBARCADERO,Oakland,CA,POINT (-122.25265897 37.788101983)
WEAPONS,07/13/2024 02:59:00 PM,24-034949,RECEIVE/ETC KNOWN STOLEN PROPERTY,31Y,437 HALE AV,Oakland,CA,POINT (-122.181085982 37.733042979)
,06/30/2024 05:00:00 PM,24-032796,ATTEMPT VEHICLE THEFT-AUTO,05X,1835 WEST ST,Oakland,CA,POINT (-122.277770289 37.810507425)
,08/02/2024 10:00:00 PM,24-038927,VEHICLE THEFT - AUTO,30X,7108 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.188575967 37.760238986)
,06/18/2024 10:45:00 AM,24-030299,BATTERY,21Y,3004 CAPP ST,Oakland,CA,POINT (-122.21598697 37.793695982)
,05/27/2024 09:38:00 PM,24-026178,BATTERY,10X,5942 SAN PABLO AVE,Oakland,CA,POINT (-122.283392978 37.842888994)
NARCOTICS,07/19/2024 11:30:00 AM,24-035943,POSSESS NARCOTIC CONTROLLED SUBSTANCE,77X,31 WEBSTER ST,Oakland,CA,POINT (-122.274866973 37.793667014)
,05/16/2024 09:54:00 PM,24-909563,THEFT,22Y,2962 BURDECK DRIVE,Oakland,CA,POINT (-122.193620029 37.810016008)
,07/01/2024 04:37:00 AM,24-032638,BURGLARY-FORCIBLE ENTRY,25X,3533 MACARTHUR BLVD,Oakland,CA,POINT (-122.200470978 37.79307899)
,07/09/2024 07:27:00 PM,24-034291,VEHICLE THEFT - AUTO,31Y,110 HEGENBERGER RD.,Oakland,CA,POINT (-122.199514016 37.730204993)
FELONY ASSAULT,05/20/2024 09:56:00 PM,24-024978,ASSAULT WITH FIREARM ON PERSON,06X,874 W MACARTHUR BLVD,Oakland,CA,POINT (-122.273849008 37.828286)
BURG - COMMERCIAL,07/26/2024 02:57:00 AM,24-037148,ATTEMPTED BURGLARY,01X,59 BROADWAY,Oakland,CA,POINT (-122.27707764 37.795076056)
MISDEMEANOR ASSAULT,05/25/2024 08:00:00 AM,24-030214,ASSAULT AND BATTERY,29X,2557 60TH AV,Oakland,CA,POINT (-122.190065012 37.771007008)
FELONY ASSAULT,06/28/2024 11:18:00 PM,24-032270,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,17Y,3217 14TH AV,Oakland,CA,POINT (-122.228327981 37.799937021)
